id,annotation_id,elementid
949,7790,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iusticiis""]]"
585,5456,"[["""", ""clause""], [""type"", ""witnesses""]]"
586,5457,"[["""", ""clause""], [""type"", ""malediction""]]"
950,7791,"[["""", ""clause""], [""type"", ""disposition""]]"
620,5494,"[["""", ""clause""], [""type"", ""address""]]"
48,2577,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
591,5463,"[["""", ""clause""], [""type"", ""intitulatio""]]"
592,5464,"[["""", ""clause""], [""type"", ""address""]]"
593,5465,"[["""", ""clause""], [""type"", ""witnesses""]]"
594,5466,"[["""", ""clause""], [""type"", ""holding""]]"
1086,18899,"[["""", ""clause""], [""type"", ""malediction""]]"
946,7787,"[["""", ""clause""], [""type"", ""witnesses""]]"
595,5467,"[["""", ""clause""], [""type"", ""notification""]]"
596,5468,"[["""", ""clause""], [""type"", ""disposition""]]"
51,2580,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
601,5473,"[["""", ""clause""], [""type"", ""address""]]"
602,5474,"[["""", ""clause""], [""type"", ""disposition""]]"
58,2588,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1146,19002,"[["""", ""clause""], [""type"", ""disposition""]]"
1147,19003,"[["""", ""clause""], [""type"", ""holding""]]"
1149,19005,"[["""", ""clause""], [""type"", ""intitulatio""]]"
605,5477,"[["""", ""clause""], [""type"", ""address""]]"
1150,19006,"[["""", ""clause""], [""type"", ""address""]]"
607,5479,"[["""", ""clause""], [""type"", ""address""]]"
608,5480,"[["""", ""clause""], [""type"", ""address""]]"
612,5486,"[["""", ""clause""], [""type"", ""address""]]"
613,5487,"[["""", ""clause""], [""type"", ""address""]]"
614,5488,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
63,2593,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
617,5491,"[["""", ""clause""], [""type"", ""address""]]"
621,5495,"[["""", ""clause""], [""type"", ""address""]]"
